name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
Buckin' Bulls: The Story of Ty Rinaldo,"Biography, Documentary, Sports",--,Fewer,100%,,,1h 45m,2021,English,https://www.rottentomatoes.com/m/buckin_bulls_the_story_of_ty_rinaldo
The Dirt,"Drama, Biography, Music",37%,75,94%,"5,000+",TVMA,1h 48m,2019,English,https://www.rottentomatoes.com/m/the_dirt_2019
A Holiday I Do,"Holiday, Romance, Comedy, Lgbtq+",--,3,--,,,1h 33m,2023,English,https://www.rottentomatoes.com/m/a_holiday_i_do
A Beautiful Day in the Neighborhood,"Biography, Drama",95%,381,92%,"10,000+",PG (Some Mild Language|A Brief Fight|Some Strong Thematic Material),1h 47m,2019,English,https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood
Fisherman's Friends: One and All,"Comedy, Music",38%,21,81%,50+,PG-13 (Language|Some Suggestive Material),1h 51m,2022,English (United Kingdom),https://www.rottentomatoes.com/m/fishermans_friends_one_and_all
Battle for Saipan,"War, History, Drama, Action",33%,6,84%,100+,R,1h 34m,2022,English,https://www.rottentomatoes.com/m/battle_for_saipan
Stronger,"Biography, Drama",90%,197,81%,"10,000+",R (Language Throughout|Brief Sexuality/Nudity|Some Graphic Injury Images),1h 59m,2017,English,https://www.rottentomatoes.com/m/stronger_2017
Spider-Man: Into the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",97%,402,94%,"25,000+",PG (Mild Language|Frenetic Action Violence|Thematic Elements),1h 57m,2018,English,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse
Don't Look Up,Comedy,55%,305,78%,100+,R (Graphic Nudity|Drug Content|Language Throughout|Some Sexual Content),2h 18m,2021,English,https://www.rottentomatoes.com/m/dont_look_up_2021
Hell or High Water,"Crime, Drama, Mystery & thriller, Western, Action",97%,290,88%,"25,000+",R (Language Throughout|Brief Sexuality|Some Strong Violence),1h 37m,2016,English,https://www.rottentomatoes.com/m/hell_or_high_water
Saw,"Horror, Mystery & thriller",50%,193,84%,"250,000+",R (Strong Grisly Violence|Language),1h 43m,2004,English,https://www.rottentomatoes.com/m/saw
Lansky,"Crime, Drama, Biography",62%,45,85%,250+,R (Strong Bloody Violence|Some Sexual References|Language),1h 59m,2021,English,https://www.rottentomatoes.com/m/lansky_2021
The Woman Who Loves Giraffes,Documentary,100%,34,100%,Fewer,,1h 23m,2018,English,https://www.rottentomatoes.com/m/the_woman_who_loves_giraffes
The Northman,"Adventure, Action, Mystery & thriller",90%,383,64%,"2,500+",R (Some Sexual Content|Nudity|Strong Bloody Violence),2h 17m,2022,English,https://www.rottentomatoes.com/m/the_northman
Beauty and the Beast,"Kids & family, Musical, Fantasy, Romance",71%,383,80%,"50,000+",PG (Peril|Frightening Images|Some Action Violence),2h 9m,2017,English,https://www.rottentomatoes.com/m/beauty_and_the_beast_2017
13 Hours: The Secret Soldiers of Benghazi,"War, Mystery & thriller, Drama",51%,225,82%,"25,000+",R (Language|Bloody Images|Strong Combat Violence),2h 24m,2016,English,https://www.rottentomatoes.com/m/13_hours_the_secret_soldiers_of_benghazi
The Last Full Measure,"War, Drama",60%,78,96%,"1,000+",R (War Violence|Language),1h 56m,2019,English,https://www.rottentomatoes.com/m/the_last_full_measure
Daddy's Home 2,"Holiday, Comedy",21%,130,51%,"10,000+",PG-13 (Suggestive Material|Some Language),1h 38m,2017,English,https://www.rottentomatoes.com/m/daddys_home_2
The Apology,"Holiday, Mystery & thriller",50%,20,41%,Fewer,,1h 31m,2022,English,https://www.rottentomatoes.com/m/the_apology_2022
Christmas Bloody Christmas,"Holiday, Horror, Mystery & thriller",77%,47,43%,100+,,1h 27m,2022,English,https://www.rottentomatoes.com/m/christmas_bloody_christmas
Reptile,"Crime, Drama",44%,82,70%,"1,000+",R (Language|Violence|Some Nude Images),2h 14m,2023,English,https://www.rottentomatoes.com/m/reptile_2023
The Promise,"History, Drama, Romance",51%,160,92%,"10,000+",PG-13 (Some Sexuality|Disturbing Images|Thematic Material|Violence|War Atrocities),2h 14m,2016,English,https://www.rottentomatoes.com/m/the_promise_2017
The Sisters Brothers,"Western, Mystery & thriller",87%,211,68%,"2,500+",R (Language|Disturbing Images|Some Sexual Content|Violence),1h 57m,2018,English,https://www.rottentomatoes.com/m/the_sisters_brothers
The Lion King,"Kids & family, Musical, Adventure, Animation",93%,137,93%,"250,000+",G,1h 27m,1994,English,https://www.rottentomatoes.com/m/the_lion_king
Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",87%,190,83%,"250,000+",PG (Martial Arts Action),1h 31m,2008,English,https://www.rottentomatoes.com/m/kung_fu_panda
F9 The Fast Saga,"Action, Adventure, Crime",59%,315,82%,"5,000+",PG-13 (Language|Action|Sequences of Violence),2h 25m,2021,English,https://www.rottentomatoes.com/m/f9
The Burial,Drama,91%,117,82%,500+,R (Language),2h 6m,2023,English,https://www.rottentomatoes.com/m/the_burial_2023
It Lives Inside,"Horror, Mystery & thriller",62%,104,48%,50+,PG-13 (Teen Drug Use|Brief Strong Language|Bloody Images|Terror|Violent Content),1h 39m,2023,English,https://www.rottentomatoes.com/m/it_lives_inside_2023
Weathering With You,"Drama, Fantasy, Anime",92%,97,96%,250+,PG-13 (Some Violence|Language|Suggestive Material),1h 51m,2019,Japanese,https://www.rottentomatoes.com/m/weathering_with_you
Blaze,"Biography, Drama, Music",95%,92,67%,500+,R (Some Sexual Content|Language Throughout|Drug Use),2h 7m,2018,English,https://www.rottentomatoes.com/m/blaze_2018
The Swimmers,"Drama, Biography, Sports",83%,63,85%,250+,PG-13 (Thematic Material|Language|Some Violence|Sexual Assault),2h 14m,2022,English,https://www.rottentomatoes.com/m/the_swimmers_2022
Emancipation,"History, Drama, Mystery & thriller",45%,155,59%,"1,000+",R (Strong Racial Violence|Language|Disturbing Images),2h 12m,2022,English,https://www.rottentomatoes.com/m/emancipation_2022
You People,"Romance, Comedy",40%,131,34%,"2,500+",R (Drug Content|Some Sexual Material|Language Throughout),1h 57m,2023,English,https://www.rottentomatoes.com/m/you_people_2023
Mine,"Mystery & thriller, War",17%,30,45%,"1,000+",,1h 47m,2016,English,https://www.rottentomatoes.com/m/mine_2017
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Kids & family, Comedy, Adventure, Animation",96%,243,90%,"2,500+",PG (Language|Impolite Material|Sequences of Violence & Action),1h 39m,2023,English,https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem
Dragon Ball Super: Super Hero,"Action, Adventure, Fantasy, Anime",93%,59,95%,"2,500+",PG-13 (Some Action/Violence|Smoking),1h 40m,2022,Japanese,https://www.rottentomatoes.com/m/dragon_ball_super_super_hero
"The Gangster, the Cop, the Devil","Action, Mystery & thriller, Crime, Drama",97%,35,94%,,,1h 50m,2019,Korean,https://www.rottentomatoes.com/m/the_gangster_the_cop_the_devil
Outlaw King,"History, Drama, Biography, War",62%,154,68%,"1,000+",,2h 17m,2018,English,https://www.rottentomatoes.com/m/outlaw_king
Polaris,"Adventure, Sci-fi, Mystery & thriller, Action, Fantasy",100%,10,12%,Fewer,,1h 29m,2022,Unknown language,https://www.rottentomatoes.com/m/polaris_2022
Encanto,"Kids & family, Musical, Comedy, Fantasy, Animation",92%,212,93%,"2,500+",PG (Some Thematic Elements|Mild Peril),1h 39m,2021,English,https://www.rottentomatoes.com/m/encanto_2021
His House,"Horror, Mystery & thriller",100%,124,73%,"1,000+",,1h 33m,2020,English (United Kingdom),https://www.rottentomatoes.com/m/his_house
Greyhound,"War, History, Drama",77%,239,76%,"1,000+",PG-13 (War Related Action/Violence|Brief Strong Language),1h 32m,2020,English,https://www.rottentomatoes.com/m/greyhound
birth/rebirth,"Horror, Mystery & thriller, Sci-fi",96%,92,74%,50+,R (Nudity|Disturbing Material|Language|Gore|Some Sexual Content),1h 38m,2023,English,https://www.rottentomatoes.com/m/birth_rebirth
A Compassionate Spy,"Documentary, Biography, History",81%,47,89%,Fewer,,1h 41m,2022,English,https://www.rottentomatoes.com/m/a_compassionate_spy
The Wall,"War, Mystery & thriller",65%,125,42%,"5,000+",R (Some War Violence|Language Throughout),1h 30m,2017,English,https://www.rottentomatoes.com/m/the_wall_2017
Terminal,"Mystery & thriller, Crime, Drama",21%,68,36%,500+,,1h 36m,2018,English,https://www.rottentomatoes.com/m/terminal_2018
Spiral: From the Book of Saw,"Horror, Mystery & thriller",37%,229,75%,"1,000+",R (Grisly Bloody Violence|Brief Drug Use|Pervasive Language|Some Sexual References|Torture),1h 33m,2021,English,https://www.rottentomatoes.com/m/spiral_from_the_book_of_saw
The Shining,"Horror, Mystery & thriller",83%,105,93%,"250,000+",R,2h 22m,1980,English,https://www.rottentomatoes.com/m/shining
Happiest Season,"Holiday, Romance, Comedy, Lgbtq+",82%,213,73%,"1,000+",PG-13 (Some Language),1h 42m,2020,English,https://www.rottentomatoes.com/m/happiest_season
Willy's Wonderland,"Horror, Action, Mystery & thriller",61%,92,68%,"1,000+",,1h 28m,2021,English,https://www.rottentomatoes.com/m/willys_wonderland
The Highwaymen,"Crime, Drama",58%,142,76%,"1,000+",R (Bloody Images|Some Strong Violence),2h 12m,2019,English,https://www.rottentomatoes.com/m/the_highwaymen
Man of Steel,"Action, Adventure, Sci-fi, Fantasy",56%,344,75%,"250,000+",PG-13 (Intense Seq. of Destruction|Intense Sci-Fi Action/Violence|Some Language),2h 23m,2013,English,https://www.rottentomatoes.com/m/superman_man_of_steel
Hereditary,"Horror, Mystery & thriller",90%,385,70%,"10,000+",R (Disturbing Images|Brief Graphic Nudity|Drug Use|Horror Violence|Language),2h 7m,2018,English,https://www.rottentomatoes.com/m/hereditary
It Ain't Over,"Documentary, Biography",98%,57,96%,50+,PG (Smoking|Language|Brief War Images|Some Drug References),1h 38m,2022,English,https://www.rottentomatoes.com/m/it_aint_over
The Last Sunset,Western,60%,5,58%,250+,,1h 52m,1961,English,https://www.rottentomatoes.com/m/10010147-last_sunset
The Secret Life of Pets,"Kids & family, Comedy, Adventure, Animation",71%,242,62%,"50,000+",PG (Action and Some Rude Humor),1h 31m,2016,English,https://www.rottentomatoes.com/m/the_secret_life_of_pets
A Beautiful Mind,"Biography, Drama",74%,214,93%,"250,000+",PG-13 (Scene of Violence|Intense Thematic Material|Sexual Content),2h 15m,2001,English,https://www.rottentomatoes.com/m/beautiful_mind
MFKZ,"Sci-fi, Action, Adventure, Anime",39%,18,80%,250+,R (Some Sexual Content|Language|Bloody Violence),1h 30m,2017,French (France),https://www.rottentomatoes.com/m/mfkz
The Fastest Woman on Earth,"Biography, Documentary, Sports",--,2,95%,Fewer,,Biography/Documentary,2022,English,https://www.rottentomatoes.com/m/the_fastest_woman_on_earth
Meet Joe Black,"Fantasy, Romance, Drama",46%,50,81%,"100,000+",PG-13,3h 0m,1998,English,https://www.rottentomatoes.com/m/meet_joe_black
Suicide Squad,"Action, Adventure, Fantasy",26%,394,58%,"100,000+",PG-13 (Disturbing Behavior|Suggestive Content|Action Throughout|Language|Sequences of Violence),2h 3m,2016,English,https://www.rottentomatoes.com/m/suicide_squad_2016
Cars 2,"Kids & family, Comedy, Adventure, Animation",40%,220,49%,"100,000+",G,1h 47m,2011,English,https://www.rottentomatoes.com/m/cars_2
Deadpool,"Action, Adventure, Comedy, Fantasy",85%,348,90%,"100,000+",R (Language Throughout|Graphic Nudity|Sexual Content|Strong Violence),1h 48m,2016,English,https://www.rottentomatoes.com/m/deadpool
Wonder Woman,"Action, Adventure, Fantasy",93%,479,83%,"100,000+",PG-13 (Sequences of Violence|Action|Some Suggestive Content),2h 21m,2017,English,https://www.rottentomatoes.com/m/wonder_woman_2017
Make Me Scream,"Game show, Holiday",--,1,79%,Fewer,,45m,2023,English,https://www.rottentomatoes.com/m/make_me_scream
The Mummy,"Action, Adventure, Fantasy, Horror",15%,317,35%,"25,000+",PG-13 (Partial Nudity|Action and Scary Images|Some Suggestive Content|Violence),1h 47m,2017,English,https://www.rottentomatoes.com/m/the_mummy_2017
A Million Miles Away,"Biography, Drama",89%,53,96%,500+,PG,2h 1m,2023,English,https://www.rottentomatoes.com/m/a_million_miles_away_2023
Deep Water,"Mystery & thriller, Drama",35%,231,24%,500+,R (Some Violence|Language|Sexual Content|Nudity),1h 56m,2022,English,https://www.rottentomatoes.com/m/deep_water_2022
"Quo Vadis, Aida?","Drama, War",100%,78,90%,250+,,1h 42m,2020,Bosnian,https://www.rottentomatoes.com/m/quo_vadis_aida
The Quintessential Quintuplets Movie,"Romance, Comedy, Anime",92%,12,96%,250+,,2h 15m,2022,Japanese,https://www.rottentomatoes.com/m/the_quintessential_quintuplets_movie
Luther: The Fallen Sun,"Crime, Drama, Mystery & thriller",68%,99,85%,Fewer,R (Some Sexual Material|Language|Disturbing/Violent Content),2h 8m,2023,English (United Kingdom),https://www.rottentomatoes.com/m/luther_the_fallen_sun
Ash Is Purest White,"Drama, Romance",99%,158,69%,250+,,2h 21m,2018,Chinese,https://www.rottentomatoes.com/m/ash_is_purest_white
A Million Ways to Die in the West,"Comedy, Western",33%,213,41%,"50,000+",R (Language Throughout|Drug Material|Some Violence|Strong Crude & Sexual Content),1h 55m,2014,English,https://www.rottentomatoes.com/m/a_million_ways_to_die_in_the_west
The Ambush,"War, Drama",--,4,38%,Fewer,R (Violence),1h 42m,2021,Arabic,https://www.rottentomatoes.com/m/the_ambush
The Devil's Own,"Mystery & thriller, Crime, Drama",35%,40,41%,"25,000+",R,1h 50m,1997,English,https://www.rottentomatoes.com/m/devils_own
Edge of the World,"Adventure, History, Drama",56%,34,43%,Fewer,,1h 44m,2021,English,https://www.rottentomatoes.com/m/edge_of_the_world_2021
The Nightmare Before Christmas,"Kids & family, Holiday, Fantasy, Comedy, Animation",95%,108,92%,"250,000+",PG (Some Scary Images),1h 15m,1993,English,https://www.rottentomatoes.com/m/nightmare_before_christmas
